Fecha,Hora,UV_Centro,UV_Cotocollao,UV_Guamani,UV_Jipijapa
01/08/2017,00:00,0,0,0,0
01/08/2017,01:00,0,0,0,0
01/08/2017,02:00,0,0,0,0
01/08/2017,03:00,0,0,0,0
01/08/2017,04:00,0,0,0,0
01/08/2017,05:00,0,0,0,0
01/08/2017,06:00,0,0.16,0.18,0
01/08/2017,07:00,0,1.27,0.93,0
01/08/2017,08:00,0,2.93,2.07,0
01/08/2017,09:00,0,4.58,5.67,0
01/08/2017,10:00,0,6.36,10.5,0
01/08/2017,11:00,0,7.82,13.44,0
01/08/2017,12:00,0,4.56,12.85,0
01/08/2017,13:00,0,4.34,12.1,0
01/08/2017,14:00,0,3.09,9.02,0
01/08/2017,15:00,0,3.42,3.75,0
01/08/2017,16:00,0,1.97,3.01,0
01/08/2017,17:00,0,0.79,0.92,0
01/08/2017,18:00,0,0.05,0.07,0
01/08/2017,19:00,0,0,0,0
01/08/2017,20:00,0,0,0,0
01/08/2017,21:00,0,0,0,0
01/08/2017,22:00,0,0,0,0
01/08/2017,23:00,0,0,0,0
02/08/2017,00:00,0,0,0,0
02/08/2017,01:00,0,0,0,0
02/08/2017,02:00,0,0,0,0
02/08/2017,03:00,0,0,0,0
02/08/2017,04:00,0,0,0,0
02/08/2017,05:00,0,0,0,0
02/08/2017,06:00,0,0.17,0.19,0
02/08/2017,07:00,0,1.17,0.65,0
02/08/2017,08:00,0,2.69,1.57,0
02/08/2017,09:00,0,4.54,5.61,0
02/08/2017,10:00,0,6.48,10.47,0
02/08/2017,11:00,0,7.74,13.22,0
02/08/2017,12:00,0,8.4,13.92,0
02/08/2017,13:00,0,6.77,8.79,0
02/08/2017,14:00,0,3.25,0,0
02/08/2017,15:00,0,2.63,0,0
02/08/2017,16:00,0,1.59,2.45,0
02/08/2017,17:00,0,0.58,1.22,0
02/08/2017,18:00,0,0.05,0.07,0
02/08/2017,19:00,0,0,0,0
02/08/2017,20:00,0,0,0,0
02/08/2017,21:00,0,0,0,0
02/08/2017,22:00,0,0,0,0
02/08/2017,23:00,0,0,0,0
03/08/2017,00:00,0,0,0,0
03/08/2017,01:00,0,0,0,0
03/08/2017,02:00,0,0,0,0
03/08/2017,03:00,0,0,0,0
03/08/2017,04:00,0,0,0,0
03/08/2017,05:00,0,0,0,0
03/08/2017,06:00,0,0.16,0,0
03/08/2017,07:00,0,1.33,0,0
03/08/2017,08:00,0,3.05,1.7,0
03/08/2017,09:00,0,4.71,5.87,0
03/08/2017,10:00,0,6.56,11.01,0
03/08/2017,11:00,0,7.88,11.24,0
03/08/2017,12:00,0,6.94,9.14,0
03/08/2017,13:00,0,5.67,11.32,0
03/08/2017,14:00,0,2.85,5.21,0
03/08/2017,15:00,0,1.75,2.08,0
03/08/2017,16:00,0,1.75,2.29,0
03/08/2017,17:00,0,0.93,0.86,0
03/08/2017,18:00,0,0.06,0.06,0
03/08/2017,19:00,0,0,0,0
03/08/2017,20:00,0,0,0,0
03/08/2017,21:00,0,0,0,0
03/08/2017,22:00,0,0,0,0
03/08/2017,23:00,0,0,0,0
04/08/2017,00:00,0,0,0,0
04/08/2017,01:00,0,0,0,0
04/08/2017,02:00,0,0,0,0
04/08/2017,03:00,0,0,0,0
04/08/2017,04:00,0,0,0,0
04/08/2017,05:00,0,0,0,0
04/08/2017,06:00,0,0.16,0.19,0
04/08/2017,07:00,0,1.38,0.7,0
04/08/2017,08:00,0,3.03,1.83,0
04/08/2017,09:00,0,4.87,3.75,0
04/08/2017,10:00,0,4.93,3.78,0
04/08/2017,11:00,0,6.63,5.11,0
04/08/2017,12:00,0,5.26,4.53,0
04/08/2017,13:00,0,3.23,4.51,0
04/08/2017,14:00,0,2.49,5.42,0
04/08/2017,15:00,0,3.6,3.82,0
04/08/2017,16:00,2.69,2.57,2.53,0
04/08/2017,17:00,1.75,1.01,0.77,0
04/08/2017,18:00,0.08,0.05,0.04,0
04/08/2017,19:00,0,0,0,0
04/08/2017,20:00,0,0,0,0
04/08/2017,21:00,0,0,0,0
04/08/2017,22:00,0,0,0,0
04/08/2017,23:00,0,0,0,0
05/08/2017,00:00,0,0,0,0
05/08/2017,01:00,0,0,0,0
05/08/2017,02:00,0,0,0,0
05/08/2017,03:00,0,0,0,0
05/08/2017,04:00,0,0,0,0
